bugid,summary,component
1295974,Desktop notification is not working on Firefox on Linux machines,Untriaged
1296111,Easyjet Sign In button not working in Firefox,Untriaged
1296314,[Firefox 48.0] browser.tabs.drawInTitlebar not working on Linux,Theme
1296607,Ctrl+T shortcut for opening a new tab not working with non English(specifically Arabic) keyboard after updating to FF48,Keyboard Navigation
1297440,Browser resizer grip is not working on Ubuntu Linux,Untriaged
1299867,Update downloading not working,Untriaged
1300593,facebook status field not working properly,Untriaged
1302473,"Stylish ""Preview"" option not working",Extension Compatibility
1303538,jQuery not working in some websites,Untriaged
1304312,Facebook Login is not working on a few websites (ReferenceError),Untriaged
1304953,Firefox not working properly after updating to 49.0,Untriaged
1305276,downloads not working. requires xulstore delete,File Handling
1305324,background-color for <option> in <select> element is not working,Untriaged
1305408,"OPTION styling stops working. Work after Firefox refresh, until restarted.",Untriaged
1307335,Mozilla FireFox Sync is not working: Login: gmsuhas@gmail.com,Sync
1308540,ctx.fillText stopped working with FF 49.0.1,Untriaged
1308812,addblocker plugin is not working,Untriaged
1309690,signTextJS plus not working with Firefox 50.0beta due to removal of API getUsagesString from nsIX509Cert,Extension Compatibility
1310966,"working in kubuntu, ui.allow_platform_file_picker=true, mouse actions on file selection dialog wont work",Untriaged
1313852,Flash transparent is not working anymore,Untriaged
1313911,Direct edit in Sharepoint not working when enabling locallinks,Untriaged
1315043,Theme font & Size Changer  is not working in Ubuntu.,Extension Compatibility
1315498,Overriding Shorcuts is not working in MacOs sierra,Shell Integration
1316272,html option tag style attribute and css not working when multiprocess is 1/1,Untriaged
1319329,NS_ERROR_NOT_AVAILABLE in Firefox50 - was working in BETA.,Extension Compatibility
1319578,scratch.mit.edu isn't working in the latest build of Firefox Developer Edition.,Untriaged
1319983,toolbar buttons stop working when the nav-bar is collapsed,Toolbars and Customization
1321102,Comment section in rt.com not working after version 50.0 upgrade (display in others navigators),Untriaged
1322244,"firefox sync NOT ""Working...""",Sync
1325363,Horizontal and vertical scrolling is not working with touch in my application on touch screen devices . I am using Windows surface tab and Dell touch screen laptop with Firfox 50.1.0. Is there is any luck ?,Untriaged
1328772,Sync is not working between my Mac and PC. Cannot login to Firefox support even after multiple password resets.,Sync
1329674,Mixcloud Player working bad only in firefox,Untriaged
1330691,"an <input> with type""number"" working badly with decimal numbers",Untriaged
1332755,PDF Viewer can be set to Adobe's NPAPI plugin even if the plugin isn't working,File Handling
1334255,FireTitle add-on not working in Firefox 51.0.1,Extension Compatibility
1334854,"After updating to Firefox 51.0.1 (32 bit), I found out that the background-color and text color styling of an html option are no longer working.",Untriaged
1335358,WebDAV Launcher add-on not working since version 51.xx (50.xx?),Extension Compatibility
1335523,Update to 51 + Refresh = Sync not working with Addons/Extensions,Sync
1335657,All in one gestures not working on firefox 51.0.1,Extension Compatibility
1335682,"firebug not working. firebug icon is appearing but it shows it has been deactivated. Also when I try to inspect element with firebug , only usual inspect element is shown and not the firebug menu.",Extension Compatibility
1336996,Roboform stopped working with update 51.0.1,Extension Compatibility
1337327,"firebug not working. firebug icon is appearing but it shows it has been deactivated. Also when I try to inspect element with firebug , only usual inspect element is shown and not the firebug menu.",Extension Compatibility
1339702,openWebPanel not working on Firefox 51,Extension Compatibility
1341004,Right taskbar menu on Firefox on Windows 10 pro 64 bit is not working well,Shell Integration
1344151,Date input not working in firefox by google form,Untriaged
1344299,Maximize and sendKeys not working with GeckoDriver on Selenium 3.1.0,Untriaged
1345364,bookmark and hostory not working,Untriaged
1346842,Certificate security exception dialog not working in view-source window,Security
1347468,Multiprocess in Firefox 52 not available/not working,Untriaged
1347487,booksmarks &History is not working,Untriaged
1348301,Bookmarks syncing no longer working,Sync
1348734,Youtube sound not working,Untriaged
1355112,Enter key not working properly on webpage.,Untriaged
1359047,Force click not working in Mac,Shell Integration
1361107,Test pilot midvid not working in ubuntu 17.04,Untriaged
1364246,LastPass extension not working correclty,Extension Compatibility
1364745,jar protocol does not working anymore,Untriaged
1367625,is not working,Untriaged
1368013,Compact theme is not working properly when opening Firefox,Theme
1368118,selenium not working with firefox beta version,Untriaged
1370038,Regression: Control Q shortcut not working,Toolbars and Customization
1370080,[Photon] New library button: synced tabs not working in second window,Sync
1374010,Cable provider activation not working in v54,Untriaged
1375788,Facebook OAuth is not working in firefox but works fine in chrome.,Untriaged
1376022,"When I close Firefox (54.0) I always get the ""Firefox has stopped working"" message",Untriaged
1377123,SQL Server Reporting Services (SSRS) PDF export no longer working in version 54,File Handling
1377674,WIndow close button not working,Untriaged
1383481,NIGHTLY 56.0a1 (2017-07-22) (64-bit) new tab browser.newtabpage.columns (.rows) NOT WORKING,Untriaged
1384077,Pocket Add on not working,Pocket
1384784,Flagfox Quit Working,Untriaged
1387299,"Addons randomly stop working after a Session Restore, until they are reset from Addon Manager",Session Restore
1387430,auth0 SSO stops working inside containers sometimes,Security
1387795,Save link to Pocket not working after Pocket was moved to page action panel + location bar,Pocket
1388011,some links like nptel.ac.in and other web links not working properly,Untriaged
1388493,All my addons stopped working with Nightly 57,Untriaged
1388772,Bookmark and history menu items aren't working in some places,Toolbars and Customization
1389053,Google font not working on Firefox 57,Untriaged
1389794,"57.0a1 (2017-08-12) (Win 64-bit) Pocket: Contextual right-click menu, Save Link to Pocket not working.",Pocket
1390144,Firefox Sync not working in Ubuntu GNOME 17.04,Untriaged
1390330,Stop/reload button animation is not working after adding userChrome.css change to forward button,Theme
1390614,Save Image As... not working since Ver. 56,Untriaged
1392336,"my ""Submit"" button is not working",Untriaged
1392616,web page works for clicking any one link and the the page stops working after that.click the videos for any week 2 times,Untriaged
1394120,Bing News Links not working,Untriaged
1394295,flashplayer is not working properly after update,Untriaged
1394934,After update to 55.0.2 (Ubuntu) all my add-ons are not working any longer.,Untriaged
1395893,Cursor keys (Left/Right/Down/Up) in Search Bar not working when placed in More Tools popup,Search
1396445,Scrolling is not working on the left most edge in maximized Firefox in KDE on Linux,Untriaged
1397516,Bookmarks sidebar does not have working scrollbar,Theme
1398221,UnloadTab extension is not working after version 51.0,Untriaged
1398596,OneTab is not working on Firefox 51.0,Untriaged
1399077,Escape(Esc) key for a drop-down menu on a modal dialog is not working as expected.,Untriaged
1400649,"session restore is not working, not possible",Session Restore
1402384,Hamburger三 menu sub links in library and (?) help not working at first intermittent,Menus
1403191,Youtube Send Feedback isn't working,Untriaged
1404296,[pocket website/service issue] Google login not working for Pocket login in Quantum,Pocket
1404597,Opening a new tab and browse to a website is not working,Extension Compatibility
1405464,ebay captcha not working,Untriaged
1405956,"multiscreen zoom not working for highlighted Firefox window when both windows have same active URL (in this case ""www.youtube.com/..."" )",General
1406676,"""Warn you when closing multiple tabs"" flag not working",Tabbed Browser
1407378,"Firefox 55, ESR 52 not working for unprivileged users - Windows Server 2008 R2 - Error APPCRASH",Installer
1407934,Outlook Web App HTML Email Editor not working in version 56,Untriaged
1408219,Firefox Nightly not working correctly,Untriaged
1408725,Download button not working,Downloads Panel
1408803,"Clicking on links, images, and videos in Telegram(web version) stopped working in Nightly 2017-10-15 or earlier",Untriaged
1408859,bank of baroda login is not working,Untriaged
1410596,Homepage not working,Untriaged
1411587,privacy.resistFingerprinting not working as intended,Security
1411649,Address bar: Guide you to existing open tab not working anymore,Address Bar
1412084,pocket button stops working with always-open-in-container,Pocket
1413255,browser.urlbar.trimURLs doesn't seem to be working on HTTPS sites,Address Bar
1413495,Active button is not working,Untriaged
1413679,ReCaptcha not working on https://imei.info/,General
1415322,Enter key not working on watsapp web,Untriaged
1416860,"Outlook web application often gets stuck on ""Still working on it...""",Untriaged
1421145,Content filters are not working on addon.mozilla.org,Untriaged
1421207,Copy as curl not working,Untriaged
1422888,Investigate clearing of containers not working correctly,Security
1423640,Headless Mode Not Working in Firefox ESR 52.5.0,Headless
1424330,Mouse Back and Forward buttons not working in FF 57.0.2,Untriaged
1424492,Dark and Light themes are not working in the last two nightlies,Theme
1424574,[WIndows] [Developer Edition] Right click not Working after update,Untriaged
1424640,flexbox grow not working,Untriaged
1425199,"""browser.search.widget.inNavBar"" not working with config files",Preferences
1427181,Media Recorder API is not working correctly,Untriaged
1427474,"Firefox 57.0.2 64-bit Freezes on restore session screen, and ""Safemode"" ""Refresh fireFox"" are not working ...",Untriaged
1427628,right-click context menu and hamburger menu stop working,Untriaged
1428571,clear recent history dialog not working,Untriaged
1429010,Enter button not working in address bar,Untriaged
1429409,Omnibox/addressbar search engine for Duckduckgo is not working,Search
1431666,U2F not working on Mac OS X with Yubikey 4,Untriaged
1431718,Multi-Account Containers keep working after Add-on is disabled,Preferences
1432606,"Scroller Of ""List All Tabs"" Button Not Working Properly !",Toolbars and Customization
1433544,Outlook.com: Opening and scrolling mails is not working,Untriaged
1435235,Debugging angular not working on Firefox Quantum,Untriaged
1435738,Autofill is not working a few minutes after start of browser,Untriaged
1436284,some features working only in private mode...,Untriaged
1440167,JSF Trinidad File Upload component stopped working with Firefox 56 onwards. The files are getting corrupted. the same compnent is working fine with version 54 and 55,Untriaged
1443207,Keyboard controls not working in Google Docs,Untriaged
1444206,clipconverter.cc website is not properly working (firefox developer's edition),Untriaged
1445656,JACK sound not working in Firefox 58,Untriaged
1446986,Keyboard shortcuts are not working,Untriaged
1447209,Java Script/ Webkit CSS is not working properly on version 59.0.1,Untriaged
1448323,Most keys stop working after Ctrl-f then Esc,Untriaged
1451056,whatsapp web not working,Untriaged
1451237,Medium.com sign-in link with token isn't working,Untriaged
1453600,javascript not working in firefox other browser support javascript but i am many try but they are not supporting,Untriaged
1458444,multiple versions of browser are installed and working,Installer
1460503,url box insert something and enter not working,Search
1460625,Search Bar not working after v60 update (v59 downgrade works fine),Search
1461828,Website - not working,Untriaged
1462032,[Address Bar] Regression: Autocomplete stops working at some point,Address Bar
1462279,security.enterprise_roots.enabled is not working on some cases,General
1463259,Spelling check not working anymore,Untriaged
1463804,"Drag & drop link, text and tab stops working on Linux",General
1465766,backspace not working in gmail,Keyboard Navigation
1467206,Moving a tab to a new window and return it to the window it came from causes input and textboxes to stop working and hasFocus() to return false,Tabbed Browser
1467324,Onesignal push notifications not working on Firefox 52.8.0 ESR,Untriaged
1468029,new private window shortcut not working,Keyboard Navigation
1470847,IE-Tab-V2 & IE-Tab Addons randomly working since FireFox-ESR-52.8.0,Extension Compatibility
1471407,Firefox 61 broke Google. It seems to randomly go from working to not working.,Untriaged
1472352,Dashlane extension has stopped working in FF 61.0 (64-bit),Untriaged
1474526,Text input from Macro-Keyboard (xkeys.com) not working anymore,Untriaged
1478449,Browser back button and home icon not working right.,Toolbars and Customization
1478926,Yet Another WizNote Web Clipper causes Firefox Homepage functions not working properly,Extension Compatibility
1481135,home page links not working properly,Security
1482329,Video player not working when multiple tabs are opened in background,Untriaged
1483956,"Bookmarks stop working, Firefox can be only closed by ""kill"" command",Bookmarks & History
1486260,HTML5 video controls not working.,Untriaged
1487547,"Config browser.showQuitWarning stopped working - it won't show ""Save and quit"" dialog",Session Restore
1489777,Sync isn't working,Sync
1495561,Since I have upgraded to Mojave every time I try to upload a file into a document I am working on in Firefox I get locked up.,Untriaged
1497509,Context Menu not working for default Firefox Bookmarks on macOS,Bookmarks & History
1498040,Parts of Keyboard not working when using Google Docs,General
1498361,U2F security token stopped working with Nightly,Untriaged
1498367,Send Tabs to Device is not working.,Tabbed Browser
1498761,A problem with your hardware caused Windows to stop working correctly.,Untriaged
1498837,Nightly stopped working 20181013,Untriaged
1498881,No HTML code is working in websites,Untriaged
1499938,"Issue 1352069 ""Introduce a pref that allows for disabling animations (toolkit.cosmeticAnimations.enabled)"" not working in 62.0.3",Untriaged
1500730,Setting: Startup - Restore Previous Session is not working.,Session Restore
1500893,"""Pay"" button isn't working due to credit card records using new encryption after backing out bug 1486954",WebPayments UI
1501469,Full page screenshots not working on many sites,Screenshots
1502648,mutation observer and favicon changes are not working together,Tabbed Browser
1503284,Push notification don working in Firefox Nightly,Untriaged
1505326,PHP that send big file to download is not working anymore,Untriaged
1506565,"outlook.com not working, Firefox error ""corrupted contents""",Untriaged
1508035,Firefox sync bookmarks not working in v63,Sync
1508361,Changes to TabsToolbar element in userChrome.css not working anymore since 65.0a1,Toolbars and Customization
1508679,Restore previous session is not working when browser is closed with all the tabs selected,Tabbed Browser
1510525,"while working on localhost i tried to take a screenshot and it showed an error message that is "" Whoa! Firefox screenshots went haywire.""",Screenshots
1510980,"Search bar ""add this site"" not working with Google Translate",Untriaged
1512680,"""Open all in tabs"" option in folders of the personal  bookmarks toolbar stopped working",Bookmarks & History
1514462,www.flightradar24.com and www.marinetraffic.com stopped working,General
1516610,The bookmarks star button is not working to save as bookmark,Bookmarks & History
1516632,Post Answer URL and Learn More URL aren't working,Normandy Client
1518322,NewTab page stops working if e10s is disabled,New Tab Page
1518974,DnD not working tabs and text Nightly 66,Untriaged
1523498,browser.urlbar.suggest.searches = false stopped working,Address Bar
1523549,Sign up is not working,Untriaged
1523768,light theme is not working in FF 65.0,Theme
1524135,about:config?filter=foobar stops working,Preferences
1524809,data: URI bookmarks with javascript not working due to NoScript add-on,Untriaged
1526658,Firefox Video Blocking not working Link: https://www.dictionary.com/e/s/10-weather-words-you-need-to-know/?param=TcomSERP-mid4#amazing-weather-words Version: 66.0b5 (64-bit) Developer Version System: x64 Ubuntu 18.04 LTS Desktop Environment: LXDE,Untriaged
1527602,Pagination no longer working on the Recipe view in the Delivery Console,Normandy Server
1528385,mouse hover not working,Untriaged
1531339,[Search Quantumbar] Quantumbar not working after Firefox Theme is changed,Address Bar
1531940,Blank Page set in 'Homepage and new windows' not working,New Tab Page
1532081,"""Pin to taskbar"" icon stops working after every FF update (Windows 10)",Installer
1534900,Submit button isn't working,Untriaged
1537727,Arrow keys not working in URL bar,Address Bar
1538090,After update languidge is not working,Untriaged
1538639,"Navigation through Firefox Account, hamburger and library menu using down/up arrow is not working correctly when right-arrowing into a submenu",Keyboard Navigation
1539525,Javascript not working properly in FF 65.0.2,Untriaged
1541334,Hyperlinks not working in Outlook 2016 since Firefox version 66.0.1/66.0.2,Shell Integration
1542125,Dynamic module loading not working - SyntaxError: dynamic module import is not implemented.,Untriaged
1542730,The caps lock is not working to type in caps,Untriaged
1544024,Windows tablet mode causes tabs to stop working,Untriaged
1544069,Set As Desktop Background not working,Shell Integration
1544674,firepath addons is now not working on firefox browser,Extension Compatibility
1545966,"navigation features on National Weather Station website no longer working, I think since last update.  e.g. click fails on next 8 hours, fails on website menu icon, and other navigation features",Untriaged
1547543,wacom tablet not working in v67,Untriaged
1549098,Accessibility/keyboard shortcuts not working in Options,Preferences
1549305,Addons still not working after 66.0.4,Extension Compatibility
1550441,file upload not working,Untriaged
1551887,sso.mozilla.org login isn't working within Nightly,General
1552031,Screenshot not working,Untriaged
1552034,Tab move / transfer between windows stopped working,Untriaged
1554398,Missing Images and Non Working Links,Untriaged
1554766,firefox not working properly,Untriaged
1555428,stackoverflow.com stoped working with error: An error occurred during a connection to stackoverflow.com. A required TLS feature is missing. Error code: MOZILLA_PKIX_ERROR_REQUIRED_TLS_FEATURE_MISSING,Untriaged
1556665,"Proxy: working is impossible without using setting: ""Use Password Manager to remember <PROXY's> password""",Untriaged
1556897,Desktop start icon not working,Untriaged
1559668,First tab stops working after going to another tab,Untriaged
1559751,Firepath and firebug addons are not working on current version of firefox 64 bit,Extension Compatibility
1560557,Left-side Ctrl+L is not working,Untriaged
1560680,page margin setting is not working,Untriaged
1560725,Sync is not working in Version 67. When click on Sync (Not-Responding) Displays,Sync
1562173,Customize not working after 64.0,Untriaged
1562509,Incorrect CSS on H2 element causes tab to stop working properly and sends processor to 100% usage,Untriaged
1563620,Extensions stop working when moving profile,Untriaged
1564321,Login with facebook not working on multiple sites,Untriaged
1568626,userChrome.css not working even set toolkit.legacyUserProfileCustomizations.stylesheets=true,Toolbars and Customization
1569438,"On Linux, scroll wheel sometimes stops working until I switch windows",Untriaged
1570491,Firefox Sync stopped working: GET fail 503 info/collections,Firefox Accounts
1570547,Protocol Launcher stops working,File Handling
1570653,Sync not working since 2019-07-22,Sync
1571420,Restart required and not working during opening a page from another application on Win 10 (after update),General
1573618,sync not working: Sign in button doesn't activate,Sync
1574836,The Downloads button in the toolbar has an Auto-hide option. This option doesnt seem to be working when enabled. #nightly,Downloads Panel
1577477,Yahoo is not working properly in Firefox,Untriaged
1578414,URL autocomplete not working,Address Bar
1579063,Megabar browser.urlbar.clickSelectsAll not working,Address Bar
1579280,Dropdowns on websites not working on Windows 10,Untriaged
1580721,Drag&drop stops working when you drag few pixels,Untriaged
1581550,Url history autocomplete stopped working for some domains in update to v 69.0,Address Bar
1582330,Youtube searchbar and channel tabs not working,Untriaged
1586045,Dark theme isn't working,Theme
1588059,Group Policy Addon Whitelisting not working as expected,Enterprise Policies
1588061,Group Policy Addon Installation not working as expected,Enterprise Policies
1588404,"Firefox recently stopped working on MacBook Pro 17"" mid 2010 w/High Sierra",Untriaged
1588445,Beta Version of Firefox is not working on windows 8.1 as expected,Untriaged
1589406,"Show ""All Downloads"" not working. Cannot ""Clear Downloads"" on that page. Bookmarks ""Star"" or ""Ctrl+D"" is not working",Bookmarks & History
1589623,Banking Website are not working in Firefox :Website are forcefully logout not able to use the service.,Untriaged
1590243,Sorting in Page Info / Media is not working correctly,Page Info Window
1590655,"Tab switching working intermittently, creating new tab working intermittently",Tabbed Browser
1590724,POST method in OpenSearch is not working,Search
1591517,www.pokebattler.com stopped working after last update,Untriaged
1592039,Take Screenshot not working,Screenshots
1592994,Search and URL navigation not working in Firefox 70,Search
1593352,Uploading photos to Facebook 'Oshkosh Photography Group' causes Firefox slow and stop working. It worked until the latest update 70.0.1.,Untriaged
1595298,"Firefox sync no longer working, log shows ServerMaintenance?",Sync
1595554,button or link click not working,Untriaged
1598249,Download panel is not working,Downloads Panel
1598859,Wayland mouse input on sway stopped not working,General
1599929,SearchEngines Remove Amazon.ca policy not working on Mac OS,Enterprise Policies
1600516,https://web.telegram.org/ not working,Untriaged
1601172,Overlay scrollbars not working anymore,Untriaged
1601291,"Synch not working on a specific, single device",Sync
1601292,Custom bookmark keyword not working with Hebrew characters,Bookmarks & History
1602328,Resizing sidebar with userChrome.css not working anymore,Bookmarks & History
1602357,browser.urlbar.megabar stopped working,Address Bar
1602742,video not working on bbc.com,Untriaged
1605260,lastpass not working on firefox,Untriaged
1606117,Mouse wheel stops working,Untriaged
1606602,login button on faq page is not working,Untriaged
1608049,Auto-hide sidebar user style stopped working in Firefox 72,Bookmarks & History
1613083,ctrl+e stopped working,Search
1614906,language is not working,Preferences
1616435,Sync between Firefox Nightly (75.0a1 (2020-02-18) (64-bit)) for MacOS Catalina and Firefox Nightly (200214 08:03 (Build #2015722947)) for Android is not working.,Sync
1616583,"The site https://app.simplenote.com/ does not load, but it does load in chrome. This site stopped working recently.",Untriaged
1617891,Accept the risk and continue-button not working,Security
1619390,"Salesforce ticketing service, email function, isn't working correctly on Nightly but works fine in regular Firefox",Untriaged
1620106,Context menu hotkeys not working,Untriaged
1621864,Back button stops working after navigating to certain pages,General
1622524,Browse button not working on Manjaro KDE,Untriaged
1622674,Some search keywords stopped working,Address Bar
1622835,Vikings war of Clans not working with new Firefox update (version 74),Untriaged
1625302,Refresh Firefox Button Not working on MacOs,Address Bar
1625883,Sync not working properly,Sync
1626985,zoom-in and zoom-out cursors not working,Untriaged
1627813,Pinterest link not working from e-mail,Untriaged
1630183,Firefox Send not working properly since 3 weeks,Untriaged
218539,Bookmark keywords stopped working after bookmarks rearranged,Bookmarks & History
220472,Bookmark Toolbar Quit working after importing bookmarks,Bookmarks & History
241634,Bookmark keywords no longer working from the address bar,Bookmarks & History
248813,"Open in Tabs not working on bookmarks tabs when clicked from the ""right"" click context menu",Bookmarks & History
270825,Google search window stopped working; other engines work,Search
276815,Text search function is not working in textarea,Search
514816,Get tests from bug 464620 for various XSS bugs working,Session Restore
353251,sage rss reader extension unavailable/not working for firefox 2,Extension Compatibility
411777,Sage addon not available/working for Firefox 3.5,Extension Compatibility
1110036,"""Save As"" stops working from ""Page Info"" > ""Media"" pane. Progress of downloading is 0% forever",Page Info Window
354571,Forecast Fox extension not working with Firefox 2,Extension Compatibility
411804,Forecastfox addon not available/working for Firefox 3,Extension Compatibility
467582,Forecastfox addon not available/working for Firefox 3.5,Extension Compatibility
354265,Dictionary Tooltip not working for firefox 2,Extension Compatibility
411781,Gspace addon not available/working for Firefox 3.5,Extension Compatibility
411975,Live HTTP Headers addon not available/working for Firefox 3.5,Extension Compatibility
411829,RedShift V2 RC1 addon not available/working for Firefox 3,Extension Compatibility
1037198,[E10S] The 'SearchPreview' Addon is no longer Working/Compatible,Extension Compatibility
411813,Tab Mix Plus addon not available/working for Firefox 3,Extension Compatibility
411822,Diccionario de Español/España addon not available/working for Firefox 3,Extension Compatibility
235034,Private colormaps not working with fire*,General
355564,Colorful Tabs extension not available/working for firefox 2,Extension Compatibility
411757,ColorfulTabs addon not compatible/available/working for Firefox 3,Extension Compatibility
411800,Download Statusbar addon not available/working for Firefox 3,Extension Compatibility
264641,delete bookmark is not working after trying to delete nonexistant bookmark,Bookmarks & History
411801,IE Tab addon not available/working for Firefox 3,Extension Compatibility
467572,IE Tab addon not available/working for Firefox 3.1,Extension Compatibility
1335992,Search with default search engine stops working,Search
422645,links in the history menu are not working,Bookmarks & History
1554038,Quantumbar intermittently stops working (TypeError: result is undefined UrlbarInput.jsm:437:9),Address Bar
1366890,Tabs overflow: scroll buttons outer-top pixels not working,Tabbed Browser
1163349,"""View Pocket List"" menuitem not working",Pocket
1497977,"After FxA account password reset, send tab is working one sided between desktop and Android",Sync
1366252,"""Nightly Support"" link on ""Search Results"" page isn't working",Preferences
1581428,title attributes for links in protection report not working,Protections UI
1454323,Cmd+Q and other shortcuts are not working in some locales from Preferences,Preferences
1455681,"""Nightly Support"" link on ""Search Results"" page isn't working",Preferences
1378819,Combined stop/reload button not working when the button is in the overflow panel,Toolbars and Customization
1388753,Bookmarks and history pages in Library sub menus are not working,Toolbars and Customization
1455686,"""Learn more about Tracking Protection and your privacy"" link isn't working",Preferences
1513007,Scrolling new background tabs into view can stop working completely if we ever try to scroll a tab into view when the document doesn't need a layout/style flush,Tabbed Browser
1602870,Tabbing not working correctly with toolbar disabled in popup window,Toolbars and Customization
1530367,Play Tab indicator for pinned tabs isn't working,Tabbed Browser
827164,Double-click to open exe downloads not working,Downloads Panel
1585746,"""Site not working"" reports are not generated when more than one content blocking category is active",Protections UI
1471383,IconURL not working with SearchEngines policy,Enterprise Policies
1553290,SupportMenu policy isn't working in the hamburger menu,Enterprise Policies
1610623,DisplayMenuBar isn't working via GPO with Firefox 72,Enterprise Policies
546311,sync not working,Sync
1357915,"""Copy Download Link"" not working in the Downloads View in the Library",Bookmarks & History
1506125,"Back and forth gestures are not working on macos, Nightly",General
1512180,Open All in Tabs not working,Bookmarks & History
1554805,feed reader WX  (Brief) not working with FPI enabled,Extension Compatibility
430442,Undo and redo in the library are sometimes not correctly working,Bookmarks & History
960047,Sync banner promo links in bookmark/add-on panels need to continue working; consider re-setting sync counts,General
1506461,Bookmark's tags autocompleting not working as before,Bookmarks & History
419009,Warning if closing multiple tabs is not working (READ COMMENT #142),Tabbed Browser
783766,Save files to not working and saving on desktop instead of specified path.,General
1539365,Back and refresh button and close button on active tab not working,Toolbars and Customization
419866,"""Recent Tags"" list in smart bookmarks no longer seems to be working",Bookmarks & History
519099,Location bar stops working and does not allow any input. Restarts does not help,Session Restore
258890,[trunk] Control-Enter shortcut not working,Keyboard Navigation
260162,"Spell check not working on yahoo mail, along with other links",General
1239015,Stops working open a new tab from a search suggestion in locationbar(with Ctrl+click or with wheel mouse button),Address Bar
411820,FoxyTunes addon not available/working for Firefox 3,Extension Compatibility
1045008,Manage search Engine option in new tab is not working (broken) if search bar is removed,Search
1569135, --screenshot option in Firefox headless mode stopped working,Headless
382888,bookmark menu not working when download manager is focused,Bookmarks & History
1085291,A bookmark node that is inserted by live-update code is missing bookmarkGuid value (was: Drag & drop bookmark from the toolbar to a folder not working),Bookmarks & History
342889,SessionSaver no longer working,Tabbed Browser
374139, --enable-places-bookmarks builds from the experimental tinderbox not working,Bookmarks & History
1197559,Context menus stop working when login manager fails to initialize (gContextMenu is null when Services.logins is undefined),Menus
236810,Installer licence aggreement buttons not working,Installer
246822,Hotmail [select all] checkbox stopped working between Firefox 0.8 to 0.9,General
264896,CTRL+T not working when a pdf file is opened,Tabbed Browser
266476,"the option ""select new tab opened"" is not working when disabled",Tabbed Browser
280315,Error Message after Install: NOT OPENING ANYTHING NOT WORKING ERROR MESSAGE IS AS FOLLOWS...MODZILLA.ORG NOT FOUND,Installer
280316,Error Message after Install: NOT OPENING ANYTHING NOT WORKING ERROR MESSAGE IS AS FOLLOWS...MODZILLA.ORG NOT FOUND,Installer
170901,"Cache appears twice in preferences, also OK button not working",Preferences
174605,middle-click for new tab not working!,General
175581,General/Home Page pref isn't working,Preferences
177172,thumbnail is not working,General
177443,Image swap not working (OK in N4/IE/Moz/Opera),General
177559,Javascript image mouseovers not working,General
177957,img.src doesn't seem to be working.,General
184298,taskbar icons not working in Phoenix 0.5,General
184413,popup blocking not working (new window blocking),General
185393,"when i'm connecting to a site with a flash plugin, phoenix stops working",General
209768,calendar extnsion in firebird not working properly,General
212029,Saved Form Information option not working,Preferences
212784,some javascript not working (page uses document.all),General
215079,page anchor stops form radion button from working,General
215081,Bookmarks and preferences disappear after installing Flash plugin; address bar stops working as well.,General
215520,Seach panel in sidebar doesn't working well,General
215543,meta refresh stops working after period of time,General
216966,When in Full Screen Mode (F11) opening a menu  will make it stop working,Menus
223361,"Not working execcommand cut,copy,paste after enablePrivilege UniversalXPConnect",General
223780,Page down stops working after browser minimized and then restored,General
224104,Javascript support for document.form['radioButtonGroup'].item(x) or .length not working anymore starting from Firebird .7,General
224700,Edit preferences no longer correctly working,Preferences
225066,"<select size=""2"" style=""background-color:#FF0000""></select> CSS not working",General
233739,DOM Inspector's preferences menu not working,General
236217,"option for ""State/region"" in the above web page is not working (should display list of states)",General
236449,view source code not working on idl-domains,General
236895,DOM inspector preferences not working,General
242788,Hovers not working in menus within Firefox or for links on web pages,General
244197,scrolling on ibm thinkpad not working,General
251486,ok button on preferences panel ceases working,Preferences
253112,Options Privacy is not working,Preferences
254808,mouse wheel scrolling not working in the div area,General
255387,OK button in preferences not working if home page changed.,Preferences
263169,autoscroll's incremental speed function not working properly to scroll thru pages,General
268556,"window.open(urll,""_search"") still not working",General
269260,Buttons not working,General
272348,Button click event not working on this page,General
291943,"roll-over for ""Product Finder"" link not working.",General
415062,Bookmark this Link - Cancel not working,Bookmarks & History
411814,Firebug addon not available/working for Firefox 3,Extension Compatibility
857672,Address Bar not working,Address Bar
1095036,Copy context menu stops working in Page Info,Page Info Window
1460394,History syncing not working on Windows,Sync
934155,audible.com downloads not working,File Handling
282694,Bugzilla sidebar link not working,Bookmarks & History
992747,"""View"">""Toolbars"">""My toolbar"" toggle not working for non-customizable toolbars",Toolbars and Customization
1227116,[e10s] Cmd+click is not working on links in inline SVG,Tabbed Browser
212220,Form Autocomplete not working in Firebird 0705 onwards,Address Bar
191982,toolbar buttons go missing and not working after customizing.,Toolbars and Customization
204672,"Menu item ""View"">""Toolbars"">""Navigation Toolbar"" and Menu item ""View"">""Toolbars"">""Bookmarks Toolbar"" not working",Menus
206378,Javascript in Location bar not working,Toolbars and Customization
1202679,Sync is not working for newly created Firefox accounts,Sync
1299667,Right click Back/Forward button stops working,Toolbars and Customization
257797,Shockwave Not Working on Mac OS X,General
355566,Tabbrowser Preferences extension not available/working for firefox 2,Extension Compatibility
456805,drag and drop of bookmarks to folders (using Bookmarks Toolbar folder) where the dropdown folder has more entries than the screen can display not working...,Bookmarks & History
1161882,"""Add a Keyword for this search..."" stops working",General
